pontoId,error_loc,lat,lat_pred,lon,lon_pred
8,77.42291771548217,-8.077541,-8.078198824346401,-34.899246000000005,-34.89901791462307
12,28.97709352384207,-8.077538,-8.077300503851532,-34.899307,-34.899199370893314
22,18.940858310400156,-8.077501,-8.07765983204948,-34.899260999999996,-34.899199370893314
44,10.681452275653907,-8.077395,-8.077300503851532,-34.899364,-34.899380827163554
93,206.39549937488894,-8.077133,-8.077839496148453,-34.899464,-34.90119538986596
134,91.5286713080138,-8.076853,-8.076042855158711,-34.897242999999996,-34.89738480819091
164,12.337417914045357,-8.076611999999999,-8.076581847455635,-34.89967,-34.899562283433795
169,187.2605309076227,-8.076566999999999,-8.07550386286179,-34.896431,-34.89774772073139
178,31.96957014368565,-8.076507000000001,-8.076222519257687,-34.899704,-34.899743739704036
181,193.0350878212213,-8.076487,-8.077839496148453,-34.896122,-34.89502587667778
209,58.095536655400835,-8.076410000000001,-8.076761511554608,-34.895725,-34.89611461429922
238,51.41600329838316,-8.076325,-8.075863191059739,-34.895396999999996,-34.89538878921826
250,47.55437069904109,-8.076267,-8.075863191059739,-34.895247999999995,-34.89538878921826
284,33.941649203079955,-8.076097,-8.076222519257687,-34.899826000000004,-34.90010665224452
346,47.96403137109529,-8.075755000000001,-8.075324198762814,-34.899933000000004,-34.89992519597428
354,282.8874400710108,-8.075707000000001,-8.078198824346401,-34.893715,-34.89321131397537
356,35.72230577563991,-8.075703,-8.075863191059739,-34.896214,-34.89593315802898
400,19.703328136465114,-8.075469,-8.075324198762814,-34.900028000000006,-34.89992519597428
401,53.753365342790374,-8.075467999999999,-8.075863191059739,-34.900024,-34.899743739704036
470,90.96788408256738,-8.075055,-8.075863191059739,-34.900166,-34.90028810851476
474,113.68150732947615,-8.075028,-8.074066550069997,-34.891563,-34.89121529500272
475,20.976971603042628,-8.075007000000001,-8.075144534663842,-34.900158000000005,-34.90028810851476
479,11.364864704218327,-8.074966,-8.074964870564866,-34.900185,-34.90028810851476
499,85.88087210065486,-8.07478,-8.07550386286179,-34.890759,-34.89048946992176
505,40.73295512875539,-8.074732000000001,-8.074605542366918,-34.900271999999994,-34.89992519597428
533,8.18402626580133,-8.074533,-8.074605542366918,-34.900276,-34.90028810851476
537,25.3169929054245,-8.074516000000001,-8.074425878267945,-34.890156,-34.88994510111104
550,308.25936006575836,-8.074472,-8.071910580882307,-34.900314,-34.9013768461362
586,12.093022508718304,-8.074252,-8.07424621416897,-34.90036,-34.900469564785
602,41.85867110326881,-8.074209,-8.07424621416897,-34.890293,-34.890670926192
624,2.718241813112266,-8.074077,-8.074066550069997,-34.89954,-34.899562283433795
660,16.49038338285605,-8.073792999999998,-8.073707221872048,-34.89043,-34.89030801365152
671,140.1801076431742,-8.073764,-8.074964870564866,-34.898312,-34.89792917700163
687,37.81704207283557,-8.073642,-8.073707221872048,-34.897903,-34.89756626446115
701,65.77255872762478,-8.073506,-8.074066550069997,-34.897391999999996,-34.897203351920666
718,203.560434523295,-8.073326,-8.072808901377176,-34.896702000000005,-34.89847354581235
754,121.96598363207336,-8.073175,-8.07424621416897,-34.896347,-34.89611461429922
757,10.82926460227668,-8.073161,-8.073168229575124,-34.896561,-34.896658983109944
758,49.60107308555812,-8.073155,-8.072808901377176,-34.896557,-34.896840439380185
780,7.442998289614651,-8.073048,-8.072988565476152,-34.890640000000005,-34.890670926192
804,7.408939612451209,-8.072929,-8.072988565476152,-34.896629,-34.896658983109944
812,121.66956828900778,-8.072911,-8.07388688597102,-34.895523,-34.89502587667778
832,104.65177035103336,-8.072844,-8.073168229575124,-34.900635,-34.899743739704036
846,2.827372777415013,-8.072784,-8.072808901377176,-34.894295,-34.894300051596815
854,21.095269989448443,-8.072737,-8.072629237278203,-34.896683,-34.896840439380185
869,45.664057153379936,-8.072671000000001,-8.072269909080255,-34.894939,-34.89502587667778
878,60.92875572217501,-8.072637,-8.072090244981279,-34.896503,-34.8964775268397
886,53.4099674018044,-8.072612,-8.072988565476152,-34.890915,-34.89121529500272
902,77.77109010945875,-8.072577,-8.072808901377176,-34.891518,-34.89085238246224
913,70.95070867393828,-8.072556,-8.072269909080255,-34.891971999999996,-34.891396751272964
924,10.438091484786455,-8.072536,-8.072629237278203,-34.896285999999996,-34.89629607056946
957,87.7094417260513,-8.072467,-8.07173091678333,-34.892746,-34.89302985770513
1007,42.54838195256724,-8.072275999999999,-8.072449573179227,-34.892323,-34.89266694516465
1010,55.098349064677414,-8.072271,-8.072090244981279,-34.89658,-34.89611461429922
